Time,Accel-X (g), Accel-Y (g), Accel-Z (g)
25:21.5,0.21875,0.876221,0.140137
25:21.6,0.21875,0.844238,0.155762
25:21.6,0.218506,0.812256,0.171875
25:21.6,0.202637,0.8125,0.171875
25:21.6,0.202637,0.8125,0.171631
25:21.6,0.186035,0.812256,0.172363
25:21.6,0.169922,0.813232,0.187256
25:21.6,0.15625,0.830811,0.170898
25:21.6,0.172852,0.865967,0.172119
25:21.6,0.172852,0.93457,0.167725
25:21.6,0.193604,1.037598,0.115967
25:21.7,0.242188,1.183105,0.070313
25:21.7,0.272705,1.306396,0.037598
25:21.7,0.301514,1.420166,-0.006592
25:21.7,0.320313,1.568848,-0.020996
25:21.7,0.373291,1.729492,-0.061279
25:21.7,0.444824,1.88623,-0.11792
25:21.7,0.539551,2.02124,-0.104004
25:21.7,0.626221,2.126465,-0.069336
25:21.7,0.725586,2.210693,-0.029541
25:21.7,0.738281,2.244141,0.031738
25:21.8,0.702637,2.218994,0.050537
25:21.8,0.602539,2.125,0.05249
25:21.8,0.464355,2.024414,0.060303
25:21.8,0.365967,1.94873,0.004639
25:21.8,0.349365,1.924561,-0.063965
25:21.8,0.270508,1.860352,-0.061768
25:21.8,0.112549,1.758789,-0.041016
25:21.8,-0.020996,1.663086,0.017334
25:21.8,-0.114258,1.575195,0.104736
25:21.8,-0.196777,1.487793,0.14917
25:21.9,-0.267578,1.407471,0.179932
25:21.9,-0.366455,1.412842,0.162598
25:21.9,-0.671631,1.474609,0.155762
25:21.9,-1.227051,1.635498,0.208984
25:21.9,-2.130127,1.707031,0.405762
25:21.9,-2.962158,1.384277,0.628174
25:21.9,-3.447998,0.285889,1.185791
25:21.9,-4.163086,-2.377441,2.4021
25:21.9,-4.85791,-5.15332,3.725098
25:21.9,-4.958984,-5.896484,4.027588
25:22.0,-4.488525,-4.624023,2.781982
25:22.0,-4.159668,-2.199951,1.305664
25:22.0,-4.853516,-0.187256,0.826172
25:22.0,-6.44043,2.161377,0.921387
25:22.0,-7.427002,6.222656,1.599854
25:22.0,-6.319092,7.999756,4.046875
25:22.0,-2.684814,7.999756,5.687744
